,Fecha,Costo_Directo,Costo_Indirecto,Peso_Promedio,Incremento,Incremento semanal(promedio),Sobrevivencia,Biomasa,Biomasa_Hectarea,Balanceado,Balanceado hectárea,Balanceado_Costo,Conversión_alimenticia,Comentario,FCA
49,2023-08-17,359.33,307.31,18.482857142857142,0.24571428571428555,,92.00,28067.77369143936000000000000,4677.96,770.0,128.33,359.33,,,41.66022569176071
50,2023-08-18,359.33,62.38,18.728571428571428,0.24571428571428555,,92.00,28067.77369143936000000000000,4677.96,770.0,128.33,359.33,,,41.113653699466056
51,2023-08-19,343.33,281.43,18.974285714285713,0.24571428571428555,,92.00,28067.77369143936000000000000,4677.96,770.0,128.33,343.33,,,40.58123776539678
52,2023-08-20,343.33,58.31,19.22,0.24571428571428555,1.7199999999999989,92.00,28067.77369143936000000000000,4677.96,770.0,128.33,343.33,0.97,,40.062434963579605
53,2023-08-21,343.33,127.14,19.502857142857142,0.2828571428571429,,86.50,29108.42611600320000000000000,4851.40,770.0,128.33,343.33,,,39.481394667447994
54,2023-08-22,343.33,75.59,19.785714285714285,0.2828571428571429,,86.50,29108.42611600320000000000000,4851.40,770.0,128.33,343.33,,,38.91696750902527
55,2023-08-23,343.33,58.31,20.068571428571428,0.2828571428571429,,86.50,29108.42611600320000000000000,4851.40,770.0,128.33,343.33,,,38.36845102505695
56,2023-08-24,369.00,70.61,20.35142857142857,0.2828571428571429,,86.50,29108.42611600320000000000000,4851.40,825.0,137.50,369.00,,,40.53769479152043
57,2023-08-25,0.00,64.69,20.634285714285713,0.2828571428571429,,86.50,29108.42611600320000000000000,4851.40,0.0,0.00,0.00,,,0.0
58,2023-08-26,457.71,72.63,20.917142857142856,0.2828571428571429,,86.50,29108.42611600320000000000000,4851.40,825.0,137.50,345.00,,,39.44133315120885
59,2023-08-27,345.00,224.90,21.2,0.2828571428571429,1.9800000000000004,86.50,29108.42611600320000000000000,4851.40,825.0,137.50,345.00,1.10,,38.91509433962264
60,2023-08-28,368.00,429.28,21.444285714285712,0.24428571428571288,,85.00,30910.83738521040000000000000,5151.81,880.0,146.67,368.00,,,41.036573179668245
61,2023-08-29,0.00,755.12,21.68857142857143,0.24428571428571644,,85.00,30910.83738521040000000000000,5151.81,0.0,0.00,0.00,,,0.0
62,2023-08-30,368.00,97.82,21.93285714285714,0.24428571428571288,,85.00,30910.83738521040000000000000,5151.81,880.0,146.67,368.00,,,40.12245163811633
63,2023-08-31,368.00,733.45,22.177142857142858,0.24428571428571644,,85.00,30910.83738521040000000000000,5151.81,880.0,146.67,368.00,,,39.68049471785622
64,2023-09-01,368.00,44.67,22.42142857142857,0.24428571428571288,,85.00,30910.83738521040000000000000,5151.81,880.0,146.67,368.00,,,39.248168206435174
65,2023-09-02,368.00,107.55,22.665714285714287,0.24428571428571644,,85.00,30910.83738521040000000000000,5151.81,880.0,146.67,368.00,,,38.8251607210387
66,2023-09-03,368.00,58.10,22.91,0.24428571428571288,1.7100000000000009,85.00,30910.83738521040000000000000,5151.81,880.0,146.67,368.00,1.21,,38.41117415975557
67,2023-09-04,368.00,261.31,23.337142857142858,0.42714285714285793,,92.00,37822.85840833920000000000000,6303.81,880.0,146.67,368.00,,,37.70812928501469
68,2023-09-05,368.00,166.32,23.764285714285712,0.4271428571428544,,92.00,37822.85840833920000000000000,6303.81,880.0,146.67,368.00,,,37.030357679591226
69,2023-09-06,368.00,60.88,24.19142857142857,0.42714285714285793,,92.00,37822.85840833920000000000000,6303.81,880.0,146.67,368.00,,,36.37652060942483
70,2023-09-07,368.00,65.94,24.61857142857143,0.42714285714285793,,92.00,37822.85840833920000000000000,6303.81,880.0,146.67,368.00,,,35.745372250913945
71,2023-09-08,368.00,75.25,25.045714285714286,0.42714285714285793,,92.00,37822.85840833920000000000000,6303.81,880.0,146.67,368.00,,,35.1357517681953
72,2023-09-09,368.00,66.51,25.47285714285714,0.4271428571428544,,92.00,37822.85840833920000000000000,6303.81,880.0,146.67,368.00,,,34.54657618753856
73,2023-09-10,368.00,66.51,25.9,0.42714285714285793,2.9899999999999984,92.00,37822.85840833920000000000000,6303.81,880.0,146.67,368.00,1.15,,33.97683397683398
74,2023-09-11,368.00,412.73,25.944285714285712,0.044285714285713595,,92.00,38275.56443562048000000000000,6379.26,880.0,146.67,368.00,,,33.91883706844337
75,2023-09-12,368.00,167.02,25.98857142857143,0.04428571428571715,,92.00,38275.56443562048000000000000,6379.26,880.0,146.67,368.00,,,33.86103781882146
76,2023-09-13,368.00,134.72,26.032857142857143,0.044285714285713595,,92.00,38275.56443562048000000000000,6379.26,880.0,146.67,368.00,,,33.80343521922845
77,2023-09-14,368.00,73.50,26.077142857142857,0.044285714285713595,,92.00,38275.56443562048000000000000,6379.26,880.0,146.67,368.00,,,33.74602826777693
78,2023-09-15,368.00,59.51,26.12142857142857,0.044285714285713595,,92.00,38275.56443562048000000000000,6379.26,880.0,146.67,368.00,,,33.688815969373806
79,2023-09-16,368.00,372.71,26.165714285714287,0.04428571428571715,,92.00,38275.56443562048000000000000,6379.26,880.0,146.67,368.00,,,33.6317973356628
80,2023-09-17,368.00,58.31,26.21,0.044285714285713595,0.3100000000000023,92.00,38275.56443562048000000000000,6379.26,880.0,146.67,368.00,1.30,,33.57497138496757
81,2023-09-18,368.00,97.45,26.537142857142857,0.3271428571428565,,80.50,36417.27921073200000000000000,6069.55,880.0,146.67,368.00,,,33.161068044788976
82,2023-09-19,368.00,70.10,26.864285714285714,0.3271428571428565,,80.50,36417.27921073200000000000000,6069.55,880.0,146.67,368.00,,,32.757245413453866
83,2023-09-20,368.00,92.14,27.19142857142857,0.3271428571428565,,80.50,36417.27921073200000000000000,6069.55,880.0,146.67,368.00,,,32.363139644846065
84,2023-09-21,368.00,129.48,27.51857142857143,0.32714285714286007,,80.50,36417.27921073200000000000000,6069.55,880.0,146.67,368.00,,,31.978404194569897
85,2023-09-22,368.00,132.25,27.845714285714287,0.3271428571428565,,80.50,36417.27921073200000000000000,6069.55,880.0,146.67,368.00,,,31.602708803611737
86,2023-09-23,368.00,71.38,28.172857142857143,0.3271428571428565,,80.50,36417.27921073200000000000000,6069.55,880.0,146.67,368.00,,,31.23573855281172
87,2023-09-24,368.00,71.38,28.5,0.3271428571428565,2.289999999999999,80.50,36417.27921073200000000000000,6069.55,880.0,146.67,368.00,1.53,,30.87719298245614
88,2023-09-25,0.00,92.02,28.5,0.0,,,,,0.0,0.00,0.00,,,0.0
